IsolateID1	IsolateID2	PTS_score	label
S8MRS0686-WB1.MID57.P3.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0690-WB1-R1.MID53.P4.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0202020202020202	1uL
S8MRS0735-WB1.MID57.P6.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0434782608695652	1uL
S8MRS0850-WB1.MID61.P1.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0867-WB1-R1.MID61.P2.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.019047619047619	1uL
S8MRS0886-WB1-R1.MID61.P4.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0901-WB1.MID65.P5.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0256410256410256	1uL
S8MRS0904-WB1-R1.MID61.P6.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0910-WB1.MID61.P7.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0258064516129032	1uL
S8MRS0928-WB1.MID65.P7.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0936-WB1.MID65.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0938-WB1.MID61.P9.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS0948-WB1.MID61.P10.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0198019801980198	1uL
S8MRS0980-WB1.MID73.P2.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0113636363636364	1uL
S8MRS2144-WB1-R1.MID69.P5.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS2155-WB1.MID69.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0	1uL
S8MRS2160-WB1.MID73.P8.nov22	S8MRS0065-WB1.MID1.P7.nov22	0.0161290322580645	1uL
